Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
96580,EST,221,Multimedia for Online Content Platforms,TECH,LEC,90,3,MW,5:00 PM,6:20 PM,A115,Cornelius Bradter
95417,EST,230,ICT for Development,TECH,LEC,90,3,MW,5:00 PM,6:20 PM,B207,Anthony Pennings
95615,EST,280,Fundmtls of Indstrl Engnrng,TECH,LEC,90,3,TUTH,9:00 AM,10:20 AM,B105,Sangchan Park
95529,EST,304,Communication for Engr & Sci,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B207,Su Hyeong Kim
95441,EST,305,App Software for Info Mgt,,LEC,90,3,TUTH,12:30 PM,1:50 PM,A313,Maurice Bess
95577,EST,310,Design of Computer Games,TECH,LEC,90,3,MW,10:30 AM,11:50 AM,A211,Maurice Bess
95616,EST,320,Communication Tech Systems,STAS,LEC,90,3,TUTH,12:30 PM,1:50 PM,B203,Anthony Pennings
95418,EST,326,Management for Engineers,,LEC,90,3,MW,3:30 PM,4:50 PM,C105,Joseph Cabuay
96321,EST,330,Natural Disasters,STAS,LEC,90,3,MW,2:00 PM,3:20 PM,B207,Jang Lee
95419,EST,331,Engineering Ethics,STAS,LEC,90,3,TUTH,2:00 PM,3:20 PM,C107,Joseph Cabuay
95420,EST,364,How to Build a Startup,EXP+,LEC,90,3,MW,9:00 AM,10:20 AM,B205,Suzana Brown
95421,EST,371,Data Sci Management,,LEC,90,3,MW,2:00 PM,3:20 PM,B103,KYUNG KU KIM
95530,EST,372,Mobile Revolution,,LEC,90,3,TUTH,3:30 PM,4:50 PM,B105,Sira Maliphol
95422,EST,391,Technology Assessment,STAS,LEC,90,3,MW,10:30 AM,11:50 AM,B205,Mark Whitaker
95438,EST,392,Engineering Economics,SBS,LEC,90,3,TUTH,5:00 PM,6:20 PM,B105,Jin-sang Lee
95423,EST,393,Project Management,,LEC,90,3,MW,5:00 PM,6:20 PM,B203,Jang Lee
95424,EST,440,Interdis Rsch Methods,,LEC,90,3,TUTH,10:30 AM,11:50 AM,A312,Sira Maliphol
95447,EST,441,Interdis Senior Project,,LEC,90,3,TUTH,10:30 AM,11:50 AM,B313,Neal Dreamson
95682,EST,475,Undergrad Teaching Practicum,EXP+,TUT,T104,3,APPT,1:00 AM,1:00 AM,,Neal Dreamson
95655,EST,488,Internship in Tech & Society,EXP+,TUT,T103,1 to 3,APPT,1:00 AM,1:00 AM,,Jin-sang Lee
95684,EST,488,Internship in Tech & Society,EXP+,TUT,T104,1 to 3,APPT,1:00 AM,1:00 AM,,Neal Dreamson
95603,EST,488,Internship in Tech & Society,EXP+,TUT,T93,1 to 3,APPT,1:00 AM,1:00 AM,,Anthony Pennings
95653,EST,488,Internship in Tech & Society,EXP+,TUT,T96,1 to 3,APPT,1:00 AM,1:00 AM,,Mark Whitaker
95654,EST,488,Internship in Tech & Society,EXP+,TUT,T98,1 to 3,APPT,1:00 AM,1:00 AM,,Jang Lee
96684,EST,499,Research in Tech & Society,EXP+,TUT,T92,0 to 3,APPT,1:00 AM,1:00 AM,,Sangchan Park
95533,EST,499,Research in Tech & Society,EXP+,TUT,T101,0 to 3,APPT,1:00 AM,1:00 AM,,Joseph Cabuay
95534,EST,499,Research in Tech & Society,EXP+,TUT,T103,0 to 3,APPT,1:00 AM,1:00 AM,,Jin-sang Lee
95651,EST,499,Research in Tech & Society,EXP+,TUT,T104,0 to 3,APPT,1:00 AM,1:00 AM,,Neal Dreamson
95513,EST,499,Research in Tech & Society,EXP+,TUT,T91,0 to 3,APPT,1:00 AM,1:00 AM,,James Larson
95514,EST,499,Research in Tech & Society,EXP+,TUT,T93,0 to 3,APPT,1:00 AM,1:00 AM,,Anthony Pennings
95515,EST,499,Research in Tech & Society,EXP+,TUT,T95,0 to 3,APPT,1:00 AM,1:00 AM,,Suzana Brown
95516,EST,499,Research in Tech & Society,EXP+,TUT,T96,0 to 3,APPT,1:00 AM,1:00 AM,,Mark Whitaker
95531,EST,499,Research in Tech & Society,EXP+,TUT,T97,0 to 3,APPT,1:00 AM,1:00 AM,,Johng-Ihl Lee
95532,EST,499,Research in Tech & Society,EXP+,TUT,T98,0 to 3,APPT,1:00 AM,1:00 AM,,Jang Lee
95547,EST,558,Digital tech in disaster risk,,SEM,S90,3,SAT,9:00 AM,11:50 AM,B204,James Larson
95415,EST,581,Heurist &Quant Decision Making,,LEC,90,3,M,7:00 PM,9:50 PM,B207,Suzana Brown
96320,EST,583,National Energy Decision,,LEC,90,3,F,4:00 PM,6:50 PM,B204,Sung Jin Kim
95647,EST,697,Directed Study,,SUP,V102,1 to 9,HTBA,1:00 AM,1:00 AM,,TBA
95559,EST,697,Directed Study,,SUP,V103,1 to 9,HTBA,1:00 AM,1:00 AM,,Jin-sang Lee
95440,EST,697,Directed Study,,SUP,V91,1 to 9,HTBA,1:00 AM,1:00 AM,,James Larson
95607,EST,697,Directed Study,,SUP,V92,1 to 9,HTBA,1:00 AM,1:00 AM,,TBA
95608,EST,697,Directed Study,,SUP,V95,1 to 9,HTBA,1:00 AM,1:00 AM,,Suzana Brown
95558,EST,697,Directed Study,,SUP,V96,1 to 9,HTBA,1:00 AM,1:00 AM,,Mark Whitaker
95648,EST,699,Dissertation Research on Campu,,SUP,V103,1 to 9,HTBA,1:00 AM,1:00 AM,,Jin-sang Lee
95560,EST,699,Dissertation Research on Campu,,SUP,V91,1 to 9,HTBA,1:00 AM,1:00 AM,,James Larson
95685,EST,699,Dissertation Research on Campu,,SUP,V93,1 to 9,HTBA,1:00 AM,1:00 AM,,Anthony Pennings
96322,EMP,501,Behav & Organz Aspects of Mgmt,,LEC,90,3,TH,7:00 PM,8:20 PM,B204,Joseph Cabuay
96427,EMP,501,Behav & Organz Aspects of Mgmt,,SEM,S90,TH,8:30 PM,9:50 PM,B204,Joseph Cabuay,
95624,EMP,517,Quality and Value Management,,LEC,90,3,F,7:00 PM,9:50 PM,B204,Young-Geun Lee
Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
95425,MEC,101,Freshman Design Innovation,,LEC,90,3,TUTH,12:30 PM,1:50 PM,B105,Cornelius Bradter
95426,MEC,203,Eng Graphics and CAD,,LEC,90,3,TH,2:00 PM,4:50 PM,A115,Jong Park
95578,MEC,226,Modern Machining Practices,,LAB,L90,1,TH,5:00 PM,6:20 PM,B1093,Jong Eun Park
95496,MEC,301,Thermodynamics,,LEC,90,3,TUTH,3:30 PM,4:50 PM,A117,JONGSEONG CHOI
95497,MEC,310,Introduction to Machine Design,,LEC,90,3,TUTH,10:30 AM,11:50 AM,B205,Changwoon Han
95498,MEC,316,Instrumentation and Solids Lab,TECH,LAB,L90,2,W,9:00 AM,11:50 AM,A114,Changwoon Han
95499,MEC,320,Num Methods Eng Des Anal,,LEC,90,3,MW,2:00 PM,3:20 PM,A114,JONGSEONG CHOI
95612,MEC,325,Manufacturing Processes,,LEC,90,3,MW,3:30 PM,4:50 PM,A114,Min Yang Yang
95504,MEC,364,Intro to Fluid Mechanics,,LEC,90,3,TUTH,2:00 PM,3:20 PM,B205,Hamid Hefazi
95505,MEC,364,Intro to Fluid Mechanics,,REC,R90,RECW,5:00 PM,5:55 PM,B206,Hamid Hefazi,
